Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Africa;North Africa;Morocco;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2023;47,5;10;85;% (percent)
Africa;North Africa;Morocco;Retail;Cannabis-type;Hashish (resin);;2019;25;1;47;% (percent)
Africa;North Africa;Morocco;Retail;Cocaine-type;Coca paste/cocaine base;Cocaine base;2019;81;76;87;% (percent)
Africa;North Africa;Morocco;Retail;Cocaine-type;Cocaine salts;;2019;21;12;30;% (percent)
Africa;North Africa;Morocco;Wholesale;Cannabis-type;Hashish (resin);;2019;25;1;47;% (percent)
Africa;North Africa;Morocco;Wholesale;Cocaine-type;Cocaine salts;;2019;;;95;% (percent)
Africa;West and Central Africa;Ghana;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2020;64,7;38,8;94,2;% (percent)
Africa;West and Central Africa;Ghana;Retail;Opioids;Heroin;;2020;73,4;;;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;63,8;15;94,2;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Opioids;Heroin;;2020;60;21,4;73,4;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2021;49,67;43,73;55,6;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;6,38;3,34;13,28;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;77,2;30,9;99,4;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Opioids;Heroin;;2021;22,83;14,02;34,27;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2022;55,13;46,36;66,25;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2022;1,2;0,6;3;% (percent)
Africa;West and Central Africa;Ghana;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;70;42;99;% (percent)
