Purity of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;LevelOfSale;DrugGroup;Drug;Specify;Year;Typical;Minimum;Maximum;Measurement
Asia;East and South-East Asia;Thailand;Retail;“Ecstasy”-type substances;MDMA;;2021;45,97;9,39;79,71;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;94,33;2,23;99,84;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Amphetamine-type stimulants;Methamphetamine tablets;;2021;17,13;2,9;23,99;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;82,38;30,37;98,47;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Hallucinogens;Lysergic acid diethylamide (LSD);;2021;0,19;0,19;0,19;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Opioids;Heroin;;2021;84,55;20,59;95,31;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Opioids;Opium;;2021;6,64;5,37;17,76;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;“Ecstasy”-type substances;MDMA;;2021;45,97;9,39;79,71;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2021;94,33;2,23;99,84;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2021;17,13;2,9;23,99;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;82,38;30,37;98,47;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Hallucinogens;Lysergic acid diethylamide (LSD);;2021;0,19;0,19;0,19;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Opioids;Heroin;;2021;84,55;20,59;95,31;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Opioids;Opium;;2021;6,64;5,37;17,76;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;“Ecstasy”-type substances;“Ecstasy”-type substances;;2022;46,75;1,41;69,13;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2022;90,71;0,08;99,88;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2022;16,78;0,02;31,65;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;74,13;40,36;99,18;
Asia;East and South-East Asia;Thailand;Wholesale;Opioids;Heroin;;2022;86,24;58,92;96,77;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;“Ecstasy”-type substances;MDMA;;2023;36,6;10,3;63,75;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2023;95,2;0,07;99,98;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Amphetamine-type stimulants;Methamphetamine tablets;;2023;17,23;4,44;34,21;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;84,96;22,82;99,72;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Hallucinogens;Lysergic acid diethylamide (LSD);;2023;84,94;;84,94;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Opioids;Heroin;;2023;84,08;1;98,43;% (percent)
Asia;East and South-East Asia;Thailand;Wholesale;Opioids;Opium;;2023;8,75;6,28;10,85;% (percent)
Asia;East and South-East Asia;Thailand;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;49,03;6,47;79,42;% (percent)
Asia;East and South-East Asia;Thailand;Retail;ATS;Methamphetamine;;2019;94,85;0,18;99,75;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Cocaine-type;Cocaine salts;;2019;75,3;18,43;98,43;% (percent)
Asia;East and South-East Asia;Thailand;Retail;Opioids;Heroin;;2019;86,05;71,85;92,39;% (percent)
Asia;East and South-East Asia;Viet Nam;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;;0,3;0,4;mg/tablet
Asia;East and South-East Asia;Viet Nam;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;75;;;% (percent)
Asia;East and South-East Asia;Viet Nam;Retail;ATS;Methamphetamine;;2019;;70;80;% (percent)
Asia;East and South-East Asia;Viet Nam;Retail;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;2019;;1;5;% (percent)
Asia;East and South-East Asia;Viet Nam;Retail;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;2019;80;;;% (percent)
Asia;East and South-East Asia;Viet Nam;Retail;Substances not under international control;Ketamine and phencyclidine-type substances;Ketamine;2019;100;;;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Retail;Cannabis-type;Hashish (resin);;2019;70;60;80;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Retail;Cannabis-type;Marijuana (herb);;2019;80;75;90;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Retail;Cocaine-type;Other coca/cocaine type;;2019;70;60;80;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Retail;Opioids;Heroin;;2019;70;65;85;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Wholesale;Cannabis-type;Hashish (resin);;2019;70;60;80;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Wholesale;Cannabis-type;Marijuana (herb);;2019;80;75;90;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Wholesale;Cocaine-type;Cocaine salts;;2019;70;60;80;% (percent)
Asia;Near and Middle East/ South-West Asia;Lebanon;Wholesale;Opioids;Heroin;;2019;70;65;85;% (percent)
Asia;South Asia;India;Wholesale;“Ecstasy”-type substances;MDMA;;2020;23,9;;;% (percent)
Asia;South Asia;India;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;54,31;;;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;46,4;;;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2020;7,43;;;% (percent)
Asia;South Asia;India;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;31,5;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Codeine;;2020;33,2;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Heroin;;2020;36,25;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Morphine;;2020;5,15;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Opium;;2020;8,5;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Tramadol;;2020;95,8;;;% (percent)
Asia;South Asia;India;Wholesale;“Ecstasy”-type substances;MDMA;;2021;11,6;;;% (percent)
Asia;South Asia;India;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2021;55,57;;;% (percent)
Asia;South Asia;India;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2021;48,975;;;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2021;10,5;;;% (percent)
Asia;South Asia;India;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;38,96;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Heroin;;2021;32;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Morphine;;2021;9,24;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Opium;;2021;7,78;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Tramadol;;2021;49,8;;;% (percent)
Asia;South Asia;India;Wholesale;“Ecstasy”-type substances;MDMA;;2022;9,16;;;% (percent)
Asia;South Asia;India;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2022;55,5;;;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2022;7,71;;;% (percent)
Asia;South Asia;India;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;65,64;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Heroin;;2022;25,72;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Morphine;;2022;7,47;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Opium;;2022;8,71;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Tramadol;;2022;69,76;;;% (percent)
Asia;South Asia;India;Wholesale;“Ecstasy”-type substances;MDMA;;2023;41,88;;;% (percent)
Asia;South Asia;India;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2023;59,08;;;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2023;9,53;;;% (percent)
Asia;South Asia;India;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;90,55;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Heroin;;2023;28,15;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Morphine;;2023;9,2;;;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Opium;;2023;5,45;;;% (percent)
Asia;South Asia;India;Retail;Cannabis-type;Hashish (resin);;2019;;1,1;10,3;% (percent)
Asia;South Asia;India;Retail;Opioids;Heroin;;2019;;1,2;10,5;% (percent)
Asia;South Asia;India;Retail;Opioids;Illicit morphine;;2019;;0,15;0,66;% (percent)
Asia;South Asia;India;Retail;Opioids;Opium;;2019;;2,8;5;% (percent)
Asia;South Asia;India;Wholesale;Cannabis-type;Hashish (resin);;2019;;29,9;65;% (percent)
Asia;South Asia;India;Wholesale;Cocaine-type;Cocaine salts;;2019;;70,9;86;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Heroin;;2019;;41,5;92,47;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Illicit morphine;;2019;;10,91;71,7;% (percent)
Asia;South Asia;India;Wholesale;Opioids;Opium;;2019;;10,16;14,66;% (percent)
Asia;South Asia;Sri Lanka;Wholesale;Opioids;Heroin;;2020;33,4;1,4;72,8;% (percent)
Asia;South Asia;Sri Lanka;Retail;Opioids;Heroin;;2019;38,49;;;% (percent)
Europe;Eastern Europe;Belarus;Retail;“Ecstasy”-type substances;MDMA;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Amphetamine-type stimulants;Amphetamine powder;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Cannabis-type drugs;Cannabis-type drugs;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Cocaine-type drugs;“Crack” cocaine;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Hallucinogens;Hallucinogens;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Hallucinogens;Lysergic acid diethylamide (LSD);;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Opioids;Methadone;;2021;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Opioids;Heroin;;2022;97;95;98;% (percent)
Europe;Eastern Europe;Belarus;Retail;Opioids;Methadone;;2022;97;95;98;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;;10;90;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;;0,1;20;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;;70;80;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Opioids;Heroin;;2021;;20;40;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2022;;3;19;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cocaine-type drugs;Cocaine-type drugs;;2022;;30;90;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Opioids;Heroin;;2022;;10;38;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;;0,12;19;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;;21;90;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Opioids;Heroin;;2023;;1,3;23;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Cannabis-type;Cannabis oil;;2019;;40;60;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Cannabis-type;Hashish (resin);;2019;;0,1;10;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Cannabis-type;Marijuana (herb);;2019;;3;20;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Cocaine-type;Cocaine salts;;2019;;70;80;% (percent)
Europe;South-Eastern Europe;Albania;Retail;Opioids;Heroin;;2019;;1;20;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type;Cannabis oil;;2019;;40;60;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type;Hashish (resin);;2019;;0,1;10;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cannabis-type;Marijuana (herb);;2019;;10;22;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Cocaine-type;Cocaine salts;;2019;;;80;% (percent)
Europe;South-Eastern Europe;Albania;Wholesale;Opioids;Heroin;;2019;;30;40;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Amphetamine-type stimulants;Amphetamine powder;;2021;5,4;1,9;22,2;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2021;4,6;0,05;23,2;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;;;80;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Opioids;Heroin;;2021;;5,8;22,2;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;;0,05;17,3;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;“Ecstasy”-type substances;“Ecstasy”-type substances;;2022;85,02;54,4;98,49;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;“Ecstasy”-type substances;MDMA;;2022;85,02;54,4;98,49;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Amphetamine-type stimulants;Amphetamine powder;;2022;9,3;2,2;63,9;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Amphetamine-type stimulants;Amphetamine-type stimulants;;2022;9,3;2,2;63,9;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2022;3,44;0,03;12,87;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type drugs;Cannabis/hashish oil;;2022;20,59;3,3;72,6;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type drugs;Cannabis-type drugs;;2022;;0,03;72,6;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2022;36,73;2,88;68,14;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cocaine-type drugs;Cocaine-type drugs;;2022;36,73;2,88;68,14;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Opioids;Heroin;;2022;13,16;4,5;19,35;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Opioids;Opioids;;2022;13,16;4,5;19,35;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;;;83,5;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Wholesale;Cocaine-type drugs;Cocaine-type drugs;;2022;;;83,5;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;“Ecstasy”-type substances;“Ecstasy”-type substances;;2023;28,1;21,3;34,9;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Amphetamine-type stimulants;Amphetamine-type stimulants;;2023;14,4;1,5;27,4;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2023;6,1;0,2;12,1;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cocaine-type drugs;Cocaine-type drugs;;2023;56;26,8;85,2;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;9,3;5;13,7;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Wholesale;Cocaine-type drugs;Cocaine-type drugs;;2023;30;29;31;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;“Ecstasy”-type substances;Ecstasy-type substances;;2019;48,97;30,05;63,08;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;ATS;Amphetamine;;2019;10,27;0,27;28,9;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cannabis-type;Marijuana (herb);;2019;3,39;0,06;16,31;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Cocaine-type;Cocaine salts;;2019;54,78;15,76;98;% (percent)
Europe;South-Eastern Europe;Bosnia and Herzegovina;Retail;Opioids;Heroin;;2019;7,24;6,3;9,8;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;“Ecstasy”-type substances;MDMA;;2020;35,88;1,2;64,2;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Amphetamine-type stimulants;Amphetamine powder;;2020;15,4;0,05;73,8;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Amphetamine-type stimulants;Amphetamine tablets;;2020;7,07;1,2;16,9;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2020;60,97;0,01;82;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2020;10,38;0,15;20,5;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2020;;0,6;39,5;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2020;50,72;1,6;89,3;% (percent)
Europe;South-Eastern Europe;Bulgaria;Retail;Opioids;Heroin;;2020;39,15;12,5;51,5;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;“Ecstasy”-type substances;MDMA;;2020;28,23;26,3;31,5;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2020;11,41;2,5;26,5;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Amphetamine-type stimulants;Amphetamine tablets;;2020;12,12;1,2;30,1;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;61,61;0,05;80,3;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;9,8;9,6;10;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;65,86;1;89;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Opioids;Heroin;;2020;36,72;0,3;51,3;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;“Ecstasy”-type substances;MDMA;;2023;24,4;13;60,2;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2023;11,2;0,2;19,4;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2023;80;6,3;83,3;
Europe;South-Eastern Europe;Bulgaria;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2023;12,35;0,03;22,9;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;52,4;0,8;89;% (percent)
Europe;South-Eastern Europe;Bulgaria;Wholesale;Opioids;Heroin;;2023;32,07;27,6;33,5;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;“Ecstasy”-type substances;MDMA;;2020;32;1,9;54,1;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2020;15;0,4;87,2;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2020;;64;79,9;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Cannabis-type drugs;Cannabis-type drugs;;2020;6;0,3;23,9;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2020;75;1,1;89;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Opioids;Heroin;;2020;13,9;1,1;58,4;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;“Ecstasy”-type substances;MDMA;;2023;26;;;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;Amphetamine-type stimulants;Amphetamine powder;;2023;12;;77;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2023;9;;;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2023;22;;;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2023;74;;;% (percent)
Europe;South-Eastern Europe;Croatia;Retail;Opioids;Heroin;;2023;22;;;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2023;12;;70;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Amphetamine-type stimulants;Methamphetamine powder;;2023;80;76;;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2023;62;;;% (percent)
Europe;South-Eastern Europe;Croatia;Wholesale;Opioids;Heroin;;2023;15;;;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;“Ecstasy”-type substances;MDMA;;2020;39,29;19,35;80,31;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Amphetamine-type stimulants;Amphetamine powder;;2020;6,1;2;13,34;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2020;6,18;0,28;19,65;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2020;5,78;0,88;28,54;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2020;59,82;4,104;97,67;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Buprenorphine;;2020;2;2;8;mg/tablet
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Heroin;;2020;9,37;0,33;54,13;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Sedatives and tranquilizers (please specify);Benzodiazepines;;2020;0,25;0,25;1;mg/tablet
Europe;South-Eastern Europe;Montenegro;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2020;14,35;10,62;17,96;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2020;9,73;1,19;23,18;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Opioids;Heroin;;2020;56,1;56,1;56,1;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;“Ecstasy”-type substances;MDMA;;2021;21,77;4,05;48,55;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Amphetamine-type stimulants;Amphetamine powder;;2021;7,88;1,08;21,55;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Amphetamine-type stimulants;Methamphetamine powder;;2021;83,41;83,41;83,41;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2021;9,66;0,4;25,69;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2021;1,52;0,84;2,29;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis/hashish oil;;2021;71,5;15,76;97,28;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2021;60,85;0,039;98,32;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Hallucinogens;Lysergic acid diethylamide (LSD);;2021;0,048;0,04;0,058;mg/tablet
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Buprenorphine;;2021;2;2;8;mg/tablet
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Heroin;;2021;10,28;0,71;57,2;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;“Ecstasy”-type substances;MDMA;;2021;5,26;5,26;5,26;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2021;7,32;1,11;24,09;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2021;76,09;64,02;80,44;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;“Ecstasy”-type substances;MDMA;;2022;24,24;10,74;37,98;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Amphetamine-type stimulants;Amphetamine powder;;2022;7,04;0,4;24,93;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis herb (marijuana);;2022;7,12;0,23;27,13;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis resin (hashish);;2022;50,68;50,68;50,68;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cannabis-type drugs;Cannabis/hashish oil;;2022;24,92;4,47;45,38;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Cocaine-type drugs;Cocaine hydrochloride;;2022;68,11;6,77;93,17;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Hallucinogens;Lysergic acid diethylamide (LSD);;2022;0,021;0,021;0,021;mg/tablet
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Buprenorphine;;2022;2;2;8;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Heroin;;2022;6,06;0,04;45,59;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;Opioids;Morphine;;2022;2,53;0,006;6,12;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Amphetamine-type stimulants;Amphetamine powder;;2022;14,58;12,31;16,09;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cannabis-type drugs;Cannabis herb (marijuana);;2022;6,14;0,89;15,79;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cannabis-type drugs;Cannabis resin (hashish);;2022;6,42;4,9;7,94;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Cocaine-type drugs;Cocaine hydrochloride;;2022;71,52;1,55;83,18;% (percent)
Europe;South-Eastern Europe;Montenegro;Wholesale;Opioids;Heroin;;2022;39,3;39,3;39,3;% (percent)
Europe;South-Eastern Europe;Montenegro;Retail;“Ecstasy”-type substances;MDMA;;2023;23,21;14,54;43,09;% (percent)
