Anno;Codice Regione;Descrizione Regione;Codice ASL;ASL;SERD;; Nuovi Utenti;Utenti rientrati o già in carico; Totale
2020;010;PIEMONTE;203;TO3;A12                    ;;19;25;44
2020;010;PIEMONTE;203;TO3;A18                    ;;9;16;25
2020;010;PIEMONTE;203;TO3;B01                    ;;25;43;68
2020;010;PIEMONTE;203;TO3;B03                    ;;2;55;57
2020;010;PIEMONTE;203;TO3;S01                    ;;13;169;182
2020;010;PIEMONTE;203;TO3;S02                    ;;8;169;177
2020;010;PIEMONTE;203;TO3;S03                    ;;21;94;115
2020;010;PIEMONTE;203;TO3;S11                    ;;18;116;134
2020;010;PIEMONTE;203;TO3;S12                    ;;21;218;239
2020;010;PIEMONTE;203;TO3;S13                    ;;13;61;74
2020;010;PIEMONTE;203;TO3;S16                    ;;1;26;27
2020;010;PIEMONTE;203;TO3;S17                    ;;3;29;32
2020;010;PIEMONTE;203;TO3;S18                    ;;8;167;175
2020;010;PIEMONTE;204;TO4;S01                    ;;17;206;223
2020;010;PIEMONTE;204;TO4;S02                    ;;;20;20
2020;010;PIEMONTE;204;TO4;S03                    ;;21;213;234
2020;010;PIEMONTE;204;TO4;S05                    ;;13;238;251
2020;010;PIEMONTE;204;TO4;S07                    ;;4;40;44
2020;010;PIEMONTE;204;TO4;S18                    ;;10;233;243
2020;010;PIEMONTE;204;TO4;S19                    ;;14;280;294
2020;010;PIEMONTE;204;TO4;S20                    ;;10;59;69
2020;010;PIEMONTE;204;TO4;S22                    ;;19;80;99
2020;010;PIEMONTE;205;TO5;S01                    ;;15;155;170
2020;010;PIEMONTE;205;TO5;S02                    ;;20;167;187
2020;010;PIEMONTE;205;TO5;S03                    ;;9;61;70
2020;010;PIEMONTE;205;TO5;S04                    ;;16;187;203
2020;010;PIEMONTE;206;VC;S01                    ;;13;213;226
2020;010;PIEMONTE;206;VC;S03                    ;;;75;75
2020;010;PIEMONTE;206;VC;S05                    ;;11;54;65
2020;010;PIEMONTE;207;BI;S01                    ;;19;335;354
2020;010;PIEMONTE;207;BI;S02                    ;;10;214;224
2020;010;PIEMONTE;207;BI;S03                    ;;14;99;113
2020;010;PIEMONTE;208;NO;S01                    ;;33;223;256
2020;010;PIEMONTE;208;NO;S02                    ;;17;111;128
2020;010;PIEMONTE;208;NO;S03                    ;;22;130;152
2020;010;PIEMONTE;208;NO;S04                    ;;12;134;146
2020;010;PIEMONTE;208;NO;S09                    ;;3;12;15
2020;010;PIEMONTE;209;VCO;S01                    ;;11;135;146
2020;010;PIEMONTE;209;VCO;S02                    ;;14;185;199
2020;010;PIEMONTE;209;VCO;S03                    ;;13;97;110
2020;010;PIEMONTE;209;VCO;S04                    ;;;6;6
2020;010;PIEMONTE;210;CN1;A01                    ;;;2;2
2020;010;PIEMONTE;210;CN1;S01                    ;;29;254;283
2020;010;PIEMONTE;210;CN1;S04                    ;;9;24;33
2020;010;PIEMONTE;210;CN1;S05                    ;;7;137;144
2020;010;PIEMONTE;210;CN1;S06                    ;;;5;5
2020;010;PIEMONTE;210;CN1;S07                    ;;19;135;154
2020;010;PIEMONTE;210;CN1;S09                    ;;16;100;116
2020;010;PIEMONTE;210;CN1;S11                    ;;8;7;15
2020;010;PIEMONTE;210;CN1;S12                    ;;;7;7
2020;010;PIEMONTE;211;CN2;S01                    ;;19;178;197
2020;010;PIEMONTE;211;CN2;S02                    ;;30;222;252
2020;010;PIEMONTE;211;CN2;S03                    ;;1;8;9
2020;010;PIEMONTE;212;AT;S01                    ;;14;302;316
2020;010;PIEMONTE;212;AT;S02                    ;;9;105;114
2020;010;PIEMONTE;212;AT;S03                    ;;;7;7
2020;010;PIEMONTE;213;AL;B01                    ;;13;62;75
2020;010;PIEMONTE;213;AL;S01                    ;;19;322;341
2020;010;PIEMONTE;213;AL;S02                    ;;23;117;140
2020;010;PIEMONTE;213;AL;S07                    ;;1;58;59
2020;010;PIEMONTE;213;AL;S08                    ;;21;209;230
2020;010;PIEMONTE;213;AL;S09                    ;;4;98;102
2020;010;PIEMONTE;213;AL;S10                    ;;2;42;44
2020;010;PIEMONTE;213;AL;S11                    ;;10;100;110
