Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Europe;South-Eastern Europe;Türkiye;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$42,61;;;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$42,68;$17,28;$215,90;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$42,94;$21,50;$343,52;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$43,24;$37,84;$75,68;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$45,77;$34,32;$68,65;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$46,26;$23,13;$231,32;Grams
Americas;Central America;El Salvador;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$50,00;$50,00;$50,00;Grams
Americas;Central America;El Salvador;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$50,00;$50,00;$50,00;Grams
Americas;Central America;El Salvador;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$50,00;$50,00;$50,00;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$52,18;$33,77;$92,09;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$59,31;;;
Asia;Central Asia and Transcaucasia;Kyrgyzstan;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$61,00;$52,00;$70,00;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$63,22;$31,61;$105,37;Grams
Asia;Near and Middle East/ South-West Asia;Israel;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$65,75;$58,45;$73,06;Grams
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$65,88;$57,24;$70,90;Grams
Africa;East Africa;Kenya;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$68,08;;;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$68,65;$34,32;$137,30;Grams
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$70,00;$50,00;$90,00;Grams
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$70,91;$53,79;$90,71;Grams
Asia;East and South-East Asia;Singapore;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$72,57;;;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$72,86;$22,59;$360,86;Grams
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$73,30;$58,49;$87,47;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$73,76;$56,90;$90,62;Grams
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$81,07;$68,33;$105,01;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$81,62;$27,03;$129,73;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$83,04;$35,59;$118,62;Grams
Europe;Western and Central Europe;Cyprus;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$84,30;$10,54;$957,95;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$91,53;$45,77;$137,30;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$92,20;$26,34;$158,06;Grams
Europe;Western and Central Europe;Germany;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$93,82;$50,46;$152,75;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$97,30;$32,43;$140,54;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$103,80;$29,66;$177,94;Grams
Asia;East and South-East Asia;Philippines;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$107,76;$98,78;$111,35;Grams
Asia;East and South-East Asia;Philippines;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$109,27;$43,10;$263,40;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$114,42;$114,42;$114,42;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$116,14;;;Grams
Europe;Western and Central Europe;Cyprus;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$118,62;$15,81;$296,56;Grams
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$118,62;$118,62;$118,62;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$123,42;;;Grams
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$128,53;$102,83;$257,07;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$128,70;$115,83;$180,18;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$130,07;;;
Asia;East and South-East Asia;Philippines;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$137,30;$120,26;$140,83;Grams
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$137,55;$110,04;$206,33;Grams
Asia;East and South-East Asia;Brunei Darussalam;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$145,31;$137,85;$145,31;Grams
Europe;Western and Central Europe;Cyprus;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2019;$161,25;$11,20;$895,86;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$161,69;$150,14;$173,24;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$179,14;$158,06;$184,40;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$179,77;;;Grams
Asia;Near and Middle East/ South-West Asia;Saudi Arabia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$186,47;$133,19;$266,38;Grams
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$222,50;$95,36;$762,87;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$228,35;;;Grams
Asia;Near and Middle East/ South-West Asia;Saudi Arabia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$230,00;;;Grams
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$245,70;$110,57;$429,98;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$254,30;$254,30;$254,30;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$263,44;$263,44;$263,44;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$300,00;;;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$300,00;;;Grams
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$317,68;$69,06;$690,61;Grams
Asia;East and South-East Asia;Mongolia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$320,81;;;Grams
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$354,36;$85,05;$708,72;Grams
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$367,86;;;
Asia;Near and Middle East/ South-West Asia;Qatar;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$411,07;;;Grams
Asia;East and South-East Asia;Japan;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$538,55;;;Grams
Asia;East and South-East Asia;Japan;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$563,66;;;Grams
Asia;East and South-East Asia;Malaysia;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$7.241,61;;;Kilograms
Americas;North America;United States of America;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$10.500,00;$6.000,00;$15.000,00;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$13.493,46;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$16.272,73;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$20.832,83;;;Kilograms
Asia;South Asia;Sri Lanka;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2020;$21.551,72;;;
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$35.715,20;;;Kilograms
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$45.000,00;$35.000,00;$50.000,00;Kilograms
Asia;South Asia;Sri Lanka;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$53.526,95;;;Kilograms
Africa;East Africa;Kenya;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2023;$57.563,90;;;Kilograms
Africa;East Africa;Kenya;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2021;$73.120,13;;;Kilograms
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Methamphetamine powder;;Retail;2022;$123.609,39;$98.887,52;$185.414,09;Kilograms
Asia;Near and Middle East/ South-West Asia;Iraq;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$0,01;$0,02;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$2,14;$2,61;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$11,44;$13,73;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$12,63;$13,58;Kilograms
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$12,92;$15,43;Grams
Asia;Central Asia and Transcaucasia;Kazakhstan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$35,27;$47,02;Grams
Asia;East and South-East Asia;Indonesia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$48,97;$244,85;Grams
Asia;East and South-East Asia;Timor-Leste;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$200,00;$300,00;Grams
Asia;East and South-East Asia;Timor-Leste;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$250,00;$300,00;Grams
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$1.854,14;$24.721,88;Kilograms
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$3.558,72;$5.931,20;Kilograms
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$3.585,15;$3.841,23;Kilograms
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$3.688,09;$5.268,70;Kilograms
Africa;North Africa;Egypt;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$6.548,57;$13.097,15;Kilograms
Asia;East and South-East Asia;Malaysia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$9.519,28;$9.519,28;Kilograms
Asia;Central Asia and Transcaucasia;Azerbaijan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$11.000,00;$13.000,00;Kilograms
Asia;Central Asia and Transcaucasia;Azerbaijan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$13.000,00;$15.000,00;Kilograms
Asia;Central Asia and Transcaucasia;Azerbaijan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$14.000,00;$15.000,00;Kilograms
Asia;Central Asia and Transcaucasia;Azerbaijan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$14.740,57;$17.688,68;Kilograms
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$19.429,06;$34.541,19;Kilograms
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$20.632,74;$27.510,32;Kilograms
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$23.123,37;;Kilograms
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$24.570,02;$98.280,10;Kilograms
Africa;North Africa;Egypt;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$25.367,83;$38.051,75;Kilograms
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$25.763,96;$32.204,43;Kilograms
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$27.061,16;$33.826,45;Kilograms
Asia;East and South-East Asia;Philippines;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$27.396,00;$198.948,50;Kilograms
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$30.000,00;;
Europe;Eastern Europe;Republic of Moldova;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$31.612,22;$36.880,93;Kilograms
Europe;Eastern Europe;Republic of Moldova;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$32.432,43;$37.837,84;Kilograms
Europe;Eastern Europe;Republic of Moldova;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;;$34.324,94;$40.045,77;Kilograms
Europe;Eastern Europe;Republic of Moldova;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$35.587,19;$41.518,39;Kilograms
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;;$76.495,13;$312.934,63;Kilograms
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;;$86.264,10;$145.985,40;Kilograms
Oceania;Australia and New Zealand;Australia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;;$90.293,45;$112.866,82;Kilograms
Asia;Near and Middle East/ South-West Asia;Iraq;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$0,01;$0,01;$0,02;Grams
Asia;Near and Middle East/ South-West Asia;Iraq;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$0,03;$0,03;$0,04;Grams
Africa;Southern Africa;Zambia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$1,62;;;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$4,74;$2,11;$6,32;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$8,65;$4,32;$14,05;Grams
Asia;East and South-East Asia;Myanmar;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$9,12;;;Grams
Asia;Near and Middle East/ South-West Asia;Syrian Arab Republic;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$10,00;$9,00;$15,00;Grams
Asia;Near and Middle East/ South-West Asia;Syrian Arab Republic;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$10,00;$9,00;$15,00;Grams
Africa;Southern Africa;Zimbabwe;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$10,00;$10,00;$10,00;Kilograms
Asia;East and South-East Asia;Myanmar;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$10,39;;;Grams
Asia;East and South-East Asia;Myanmar;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$12,62;;;Grams
Asia;East and South-East Asia;Myanmar;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$14,49;;;Grams
Europe;Western and Central Europe;Latvia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$17,16;$17,16;$28,60;Grams
Americas;Central America;Costa Rica;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$18,00;;;Kilograms
Europe;South-Eastern Europe;Montenegro;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$21,62;$10,81;$32,43;Grams
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$23,20;$15,47;$28,62;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$40,45;$40,45;$40,45;Grams
Europe;Eastern Europe;Belarus;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$40,47;$32,38;$48,56;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$70,75;;;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$84,77;$84,77;$84,77;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$87,81;$87,81;$87,81;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$88,43;$28,99;$185,72;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$88,88;;;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$100,00;;;Grams
Asia;East and South-East Asia;Republic of Korea;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$100,00;;;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$102,96;$90,09;$154,44;Grams
Asia;East and South-East Asia;Mongolia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$128,32;;;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$139,31;$99,51;$159,21;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$150,14;$138,59;$161,69;Grams
Asia;East and South-East Asia;Indonesia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$154,40;$68,62;$240,18;Grams
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$184,11;;;Grams
Asia;Near and Middle East/ South-West Asia;Saudi Arabia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$230,00;;;Grams
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$325,95;$130,38;$847,46;
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$332,99;;;Grams
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$343,30;;;Grams
Asia;Near and Middle East/ South-West Asia;Qatar;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$408,16;;$408,16;Grams
Asia;East and South-East Asia;Japan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$470,57;;;
Asia;East and South-East Asia;Japan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$473,94;;;Grams
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$1.284,25;$1.221,39;$1.347,12;Kilograms
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$1.603,10;$1.553,78;$1.652,43;Kilograms
Americas;Central America;Guatemala;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$1.941,50;;;Kilograms
Americas;Central America;Guatemala;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$1.942,00;$1.942,00;$2.006,73;Kilograms
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$2.936,43;$1.545,49;$4.327,37;
Americas;Central America;Panama;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2019;$3.500,00;$3.500,00;$4.000,00;Kilograms
Asia;East and South-East Asia;Singapore;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$3.991,29;;;Grams
Asia;East and South-East Asia;Singapore;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.098,36;;;Grams
Asia;Near and Middle East/ South-West Asia;Pakistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$4.490,75;$4.335,90;$4.645,60;Kilograms
Asia;South Asia;Sri Lanka;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.567,11;;;
Asia;East and South-East Asia;Thailand;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$4.598,76;$2.874,22;$5.748,45;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$4.741,83;$2.107,48;$10.537,41;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.744,96;$3.558,72;$7.117,44;Kilograms
Americas;North America;Mexico;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.815,50;;;Kilograms
Americas;North America;Mexico;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.815,50;;;Kilograms
Americas;North America;Mexico;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.815,50;;;Kilograms
Americas;North America;Mexico;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$4.815,50;$39,53;$20.000,00;Kilograms
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$4.864,86;$2.162,16;$10.810,81;Kilograms
Oceania;Australia and New Zealand;New Zealand;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$5.085,82;$1.907,18;$6.357,28;Ounce
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$5.148,74;$3.432,49;$6.864,99;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$5.667,25;;;Kilograms
Asia;East and South-East Asia;Malaysia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$6.829,05;$5.007,97;$7.284,32;Kilograms
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$7.370,42;$1.902,04;$10.699,00;Kilograms
Europe;Western and Central Europe;Belgium;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$7.723,11;$7.494,28;$7.951,95;Kilograms
Asia;East and South-East Asia;Thailand;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$8.700,00;;;Kilograms
Asia;East and South-East Asia;Malaysia;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$8.704,06;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$9.763,64;;;Kilograms
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$10.000,00;$2.500,00;$15.000,00;Kilograms
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$10.695,65;$10.203,66;$11.188,79;1000 units
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$10.775,86;$9.698,28;$11.853,45;Kilograms
Asia;Near and Middle East/ South-West Asia;United Arab Emirates;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$11.230,60;;;Kilograms
Asia;Near and Middle East/ South-West Asia;United Arab Emirates;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$11.512,66;;;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$11.591,15;$8.429,93;$14.752,37;Kilograms
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$11.694,39;$2.598,75;$25.727,65;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$11.709,60;;;Kilograms
Europe;Western and Central Europe;Greece;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$11.891,89;$8.648,65;$15.135,14;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$12.135,92;$12.135,92;$12.135,92;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$13.827,43;$11.061,95;$16.592,92;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$14.030,97;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$14.534,53;;;Kilograms
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$14.874,14;;;Kilograms
Asia;East and South-East Asia;Singapore;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$15.953,59;;;Kilograms
Asia;East and South-East Asia;Singapore;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$16.828,00;;;Kilograms
Americas;Central America;Guatemala;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$19.500,00;;;Kilograms
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$20.000,00;$50.000,00;$50.000,00;Kilograms
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2020;$20.089,12;$14.792,90;$24.654,83;Kilograms
Asia;Central Asia and Transcaucasia;Kyrgyzstan;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2022;$22.500,00;$15.000,00;$30.000,00;Kilograms
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2023;$24.243,00;$17.886,80;$38.009,45;Kilograms
Asia;East and South-East Asia;China, Hong Kong SAR;Amphetamine-type stimulants;Methamphetamine powder;;Wholesale;2021;$26.840,43;$19.731,57;$36.031,40;Kilograms
