Prices of drugs, 2019-2023;;;;;;;;;;;
Region;SubRegion;Country/Territory;DrugGroup;Drug;Specify;LevelOfSale;Year;Typical_USD;Minimum_USD;Maximum_USD;Unit
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$12,28;$7,67;$23,02;Grams
Europe;Western and Central Europe;Spain;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$12,51;;;
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$12,85;$6,43;$12,85;Grams
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$13,73;$9,15;$20,59;Grams
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$14,23;$5,93;$20,17;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$14,52;$11,61;$21,78;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$14,58;$12,28;$36,83;Grams
Europe;Eastern Europe;Ukraine;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$14,61;$10,96;$43,83;Grams
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$14,83;$11,86;$23,72;Grams
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$15,14;$10,81;$21,62;Grams
Europe;Western and Central Europe;Denmark;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$15,42;$8,30;$32,03;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$15,81;;;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$16,22;;;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$16,95;;;Grams
Europe;Western and Central Europe;France;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$17,16;$11,44;$22,88;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$17,16;$11,44;$22,88;Grams
Europe;Western and Central Europe;Ireland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$17,79;$11,86;$23,72;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$18,54;;;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$18,84;$7,54;$61,22;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$21,07;$10,54;$31,61;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$21,07;$12,64;$26,34;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$21,62;$4,32;$37,84;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$21,62;$10,81;$32,43;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$21,81;$9,82;$32,72;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$22,88;$11,44;$34,32;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$22,88;$17,16;$34,32;Grams
Europe;Western and Central Europe;Sweden;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$23,40;$7,02;$35,10;Grams
Europe;Western and Central Europe;Estonia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$23,72;$17,79;$35,59;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$26,34;$10,54;$42,15;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$26,82;$24,76;$28,88;Units
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$27,03;$10,81;$43,24;Grams
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$29,66;$11,86;$35,59;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$29,66;$11,86;$47,45;Grams
Europe;Eastern Europe;Belarus;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$30,00;$28,00;$32,00;Grams
Europe;Eastern Europe;Belarus;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$30,00;$28,00;$32,00;Grams
Europe;Eastern Europe;Russian Federation;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$30,05;;;Grams
Europe;Western and Central Europe;Spain;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$31,32;;;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$31,61;$21,07;$52,69;Grams
Europe;Western and Central Europe;Portugal;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$34,16;$6,14;$89,39;Grams
Europe;Western and Central Europe;Austria;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$37,19;$5,72;$68,65;Grams
Europe;Western and Central Europe;Norway;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$37,94;$18,97;$56,90;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$42,15;$10,54;$105,37;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$43,24;$21,62;$64,86;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$45,77;$22,88;$68,65;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$46,26;$46,26;$92,53;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$47,45;$35,59;$65,24;Grams
Europe;Western and Central Europe;Finland;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$53,38;$41,52;$71,17;Grams
Europe;Western and Central Europe;Czechia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$55,57;$31,57;$67,68;Grams
Asia;Near and Middle East/ South-West Asia;United Arab Emirates;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$61,26;;;Grams
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$70,00;$50,00;$90,00;Grams
Europe;Western and Central Europe;Slovakia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$75,68;$32,43;$108,11;Grams
Americas;Central America;Guatemala;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$97,07;;;Grams
Americas;Central America;Guatemala;Amphetamine-type stimulants;Amphetamine powder;;Retail;2023;$97,50;;;Grams
Asia;East and South-East Asia;China;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$113,50;;;
Asia;Central Asia and Transcaucasia;Armenia;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$161,69;$150,14;$173,24;Grams
Africa;East Africa;Mauritius;Amphetamine-type stimulants;Amphetamine powder;;Retail;2021;$367,86;;;
Europe;Western and Central Europe;United Kingdom;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$6.180,47;$6.180,47;$12.360,94;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Amphetamine powder;;Retail;2020;$12.144,11;;;Kilograms
Asia;South Asia;India;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$31.888,57;;;Kilograms
Asia;Central Asia and Transcaucasia;Tajikistan;Amphetamine-type stimulants;Amphetamine powder;;Retail;2022;$40.000,00;$30.000,00;$50.000,00;Kilograms
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;;$2,37;$7,71;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;;$7,86;$9,02;Kilograms
Europe;Western and Central Europe;Lithuania;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$8,01;$13,73;Grams
Europe;Western and Central Europe;Italy;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;;$8,06;$9,77;Grams
Asia;Central Asia and Transcaucasia;Kazakhstan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;;$35,27;$47,02;Grams
Asia;Central Asia and Transcaucasia;Kazakhstan;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$36,06;$84,14;Grams
Asia;East and South-East Asia;Timor-Leste;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2023;;$200,00;$300,00;Grams
Europe;Western and Central Europe;Poland;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$1.024,33;$1.792,57;Kilograms
Europe;South-Eastern Europe;Serbia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;;$1.264,49;$1.896,73;Kilograms
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;;$1.580,61;$3.688,09;Kilograms
Europe;South-Eastern Europe;Bulgaria;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2020;;$1.756,44;$2.634,66;Kilograms
Europe;Western and Central Europe;Slovenia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2021;;$1.779,36;$4.151,84;Kilograms
Europe;South-Eastern Europe;Croatia;Amphetamine-type stimulants;Amphetamine powder;;Wholesale;2022;;$2.107,48;$2.528,98;Kilograms
