Anno;Codice Regione; Descrizione Regione;Codice ASL;ASL;SERD; Nuovi Utenti;Utenti rientrati o già in carico; Totale
2023;010;PIEMONTE;203;TO3;A12                    ;25;18;43
2023;010;PIEMONTE;203;TO3;A18                    ;13;15;28
2023;010;PIEMONTE;203;TO3;B01                    ;33;24;57
2023;010;PIEMONTE;203;TO3;B03                    ;;53;53
2023;010;PIEMONTE;203;TO3;S01                    ;8;176;184
2023;010;PIEMONTE;203;TO3;S02                    ;5;151;156
2023;010;PIEMONTE;203;TO3;S03                    ;16;73;89
2023;010;PIEMONTE;203;TO3;S11                    ;14;129;143
2023;010;PIEMONTE;203;TO3;S13                    ;9;64;73
2023;010;PIEMONTE;203;TO3;S16                    ;3;22;25
2023;010;PIEMONTE;203;TO3;S17                    ;5;34;39
2023;010;PIEMONTE;203;TO3;S18                    ;18;153;171
2023;010;PIEMONTE;203;TO3;S19                    ;18;228;246
2023;010;PIEMONTE;204;TO4;S01                    ;39;208;247
2023;010;PIEMONTE;204;TO4;S02                    ;;17;17
2023;010;PIEMONTE;204;TO4;S03                    ;21;208;229
2023;010;PIEMONTE;204;TO4;S05                    ;13;247;260
2023;010;PIEMONTE;204;TO4;S07                    ;;27;27
2023;010;PIEMONTE;204;TO4;S18                    ;20;223;243
2023;010;PIEMONTE;204;TO4;S19                    ;24;267;291
2023;010;PIEMONTE;204;TO4;S20                    ;9;50;59
2023;010;PIEMONTE;204;TO4;S22                    ;11;78;89
2023;010;PIEMONTE;205;TO5;S01                    ;11;164;175
2023;010;PIEMONTE;205;TO5;S02                    ;10;187;197
2023;010;PIEMONTE;205;TO5;S03                    ;15;62;77
2023;010;PIEMONTE;205;TO5;S04                    ;31;208;239
2023;010;PIEMONTE;206;VC;S01                    ;20;216;236
2023;010;PIEMONTE;206;VC;S03                    ;18;116;134
2023;010;PIEMONTE;206;VC;S05                    ;8;44;52
2023;010;PIEMONTE;207;BI;S01                    ;11;310;321
2023;010;PIEMONTE;207;BI;S02                    ;13;215;228
2023;010;PIEMONTE;207;BI;S03                    ;19;88;107
2023;010;PIEMONTE;208;NO;S01                    ;36;213;249
2023;010;PIEMONTE;208;NO;S02                    ;24;112;136
2023;010;PIEMONTE;208;NO;S03                    ;21;127;148
2023;010;PIEMONTE;208;NO;S04                    ;11;118;129
2023;010;PIEMONTE;208;NO;S09                    ;5;20;25
2023;010;PIEMONTE;209;VCO;S01                    ;25;113;138
2023;010;PIEMONTE;209;VCO;S02                    ;16;183;199
2023;010;PIEMONTE;209;VCO;S03                    ;22;94;116
2023;010;PIEMONTE;209;VCO;S04                    ;;7;7
2023;010;PIEMONTE;210;CN1;S01                    ;26;271;297
2023;010;PIEMONTE;210;CN1;S04                    ;7;35;42
2023;010;PIEMONTE;210;CN1;S05                    ;13;118;131
2023;010;PIEMONTE;210;CN1;S07                    ;35;123;158
2023;010;PIEMONTE;210;CN1;S09                    ;18;106;124
2023;010;PIEMONTE;210;CN1;S11                    ;1;12;13
2023;010;PIEMONTE;210;CN1;S12                    ;3;8;11
2023;010;PIEMONTE;211;CN2;S01                    ;31;204;235
2023;010;PIEMONTE;211;CN2;S02                    ;35;253;288
2023;010;PIEMONTE;211;CN2;S03                    ;8;16;24
2023;010;PIEMONTE;212;AT;S01                    ;13;309;322
2023;010;PIEMONTE;212;AT;S02                    ;9;98;107
2023;010;PIEMONTE;212;AT;S03                    ;;2;2
2023;010;PIEMONTE;213;AL;B01                    ;9;49;58
2023;010;PIEMONTE;213;AL;S01                    ;25;335;360
2023;010;PIEMONTE;213;AL;S02                    ;6;114;120
2023;010;PIEMONTE;213;AL;S07                    ;;47;47
2023;010;PIEMONTE;213;AL;S08                    ;8;182;190
2023;010;PIEMONTE;213;AL;S09                    ;8;118;126
2023;010;PIEMONTE;213;AL;S10                    ;;3;3
2023;010;PIEMONTE;213;AL;S11                    ;12;111;123
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;A12                    ;;2;2
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S01                    ;22;343;365
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S02                    ;154;153;307
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S03                    ;18;227;245
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S04                    ;13;405;418
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S09                    ;29;285;314
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S10                    ;25;292;317
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S11                    ;49;459;508
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S12                    ;7;449;456
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S16                    ;36;424;460
2023;010;PIEMONTE;301;ASL CITTA' DI TORINO;S17                    ;116;245;361
2023;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;A01                    ;2;20;22
2023;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;B01                    ;2;21;23
2023;020;VALLE D'AOSTA;101;AZIENDA U.S.L. VALLE D'AOSTA;S01                    ;47;211;258
2023;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S22                    ;69;341;410
2023;030;LOMBARDIA;321;ATS DELLA CITTA' METROPOLITANA DI MILANO;S70                    ;158;303;461
2023;030;LOMBARDIA;323;ATS DELLA MONTAGNA;S47                    ;20;116;136
2023;030;LOMBARDIA;324;ATS DELLA BRIANZA;S10                    ;37;104;141
2023;030;LOMBARDIA;324;ATS DELLA BRIANZA;S91                    ;39;121;160
2023;030;LOMBARDIA;325;ATS DI BERGAMO;S01                    ;67;231;298
2023;030;LOMBARDIA;325;ATS DI BERGAMO;S02                    ;33;240;273
2023;030;LOMBARDIA;326;ATS DI BRESCIA;S91                    ;113;276;389
2023;030;LOMBARDIA;326;ATS DI BRESCIA;S92                    ;22;164;186
2023;030;LOMBARDIA;326;ATS DI BRESCIA;S93                    ;63;279;342
2023;030;LOMBARDIA;326;ATS DI BRESCIA;S94                    ;129;321;450
2023;030;LOMBARDIA;327;ATS DELLA VAL PADANA;S01                    ;;;
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S01                    ;32;153;185
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S02                    ;16;334;350
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S03                    ;45;304;349
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S05                    ;20;191;211
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S11                    ;3;234;237
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S60                    ;;1;1
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S71                    ;15;198;213
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S80                    ;8;161;169
2023;030;LOMBARDIA;702;ASST SANTI PAOLO E CARLO;S90                    ;161;139;300
2023;030;LOMBARDIA;703;ASST FATEBENEFRATELLI SACCO;S06                    ;;;
2023;030;LOMBARDIA;703;ASST FATEBENEFRATELLI SACCO;S07                    ;;;
2023;030;LOMBARDIA;705;ASST OVEST MILANESE;S03                    ;3;11;14
2023;030;LOMBARDIA;705;ASST OVEST MILANESE;S04                    ;54;281;335
2023;030;LOMBARDIA;705;ASST OVEST MILANESE;S06                    ;47;210;257
2023;030;LOMBARDIA;706;ASST RHODENSE;S01                    ;14;100;114
2023;030;LOMBARDIA;706;ASST RHODENSE;S02                    ;52;276;328
2023;030;LOMBARDIA;706;ASST RHODENSE;S07                    ;38;209;247
2023;030;LOMBARDIA;707;ASST NORD MILANO;S08                    ;24;267;291
2023;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S01                    ;53;237;290
2023;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S02                    ;205;496;701
2023;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S03                    ;75;267;342
2023;030;LOMBARDIA;708;ASST MELEGNANO E DELLA MARTESANA;S06                    ;31;151;182
2023;030;LOMBARDIA;709;ASST DI LODI;S01                    ;143;370;513
2023;030;LOMBARDIA;709;ASST DI LODI;S02                    ;26;99;125
2023;030;LOMBARDIA;709;ASST DI LODI;S03                    ;21;138;159
2023;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S01                    ;63;329;392
2023;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S02                    ;17;105;122
2023;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S03                    ;21;145;166
2023;030;LOMBARDIA;710;ASST DEI SETTE LAGHI;S04                    ;9;242;251
2023;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S01                    ;13;313;326
2023;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S02                    ;26;248;274
2023;030;LOMBARDIA;711;ASST DELLA VALLE OLONA;S03                    ;137;286;423
2023;030;LOMBARDIA;712;ASST LARIANA;S01                    ;133;536;669
2023;030;LOMBARDIA;712;ASST LARIANA;S02                    ;37;230;267
2023;030;LOMBARDIA;712;ASST LARIANA;S03                    ;;71;71
2023;030;LOMBARDIA;712;ASST LARIANA;S06                    ;33;355;388
2023;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;A01                    ;6;7;13
2023;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;B01                    ;5;52;57
2023;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;C01                    ;21;117;138
2023;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;D01                    ;14;52;66
2023;030;LOMBARDIA;713;ASST DELLA VALTELLINA E DELL'ALTO LARIO;S01                    ;14;116;130
2023;030;LOMBARDIA;714;ASST DELLA VALCAMONICA;S01                    ;35;142;177
2023;030;LOMBARDIA;715;ASST DI LECCO;S01                    ;57;316;373
2023;030;LOMBARDIA;715;ASST DI LECCO;S02                    ;11;61;72
2023;030;LOMBARDIA;715;ASST DI LECCO;S03                    ;30;134;164
2023;030;LOMBARDIA;716;ASST DI MONZA;S01                    ;;;
2023;030;LOMBARDIA;716;ASST DI MONZA;S08                    ;;;
2023;030;LOMBARDIA;717;ASST DELLA BRIANZA;S01                    ;75;317;392
2023;030;LOMBARDIA;717;ASST DELLA BRIANZA;S02                    ;128;463;591
2023;030;LOMBARDIA;717;ASST DELLA BRIANZA;S07                    ;2;17;19
2023;030;LOMBARDIA;717;ASST DELLA BRIANZA;S08                    ;166;328;494
2023;030;LOMBARDIA;717;ASST DELLA BRIANZA;S10                    ;38;180;218
2023;030;LOMBARDIA;718;ASST PAPA GIOVANNI XXIII;S01                    ;218;1256;1474
2023;030;LOMBARDIA;719;ASST DI BERGAMO OVEST;S01                    ;17;248;265
