Anno;Codice Regione;Descrizione Regione;Codice ASL;ASL;SERD;; Nuovi Utenti;Utenti rientrati o già in carico; Totale
2022;010;PIEMONTE;203;TO3;A12                    ;;9;10;19
2022;010;PIEMONTE;203;TO3;A18                    ;;12;8;20
2022;010;PIEMONTE;203;TO3;B01                    ;;17;6;23
2022;010;PIEMONTE;203;TO3;B03                    ;;;50;50
2022;010;PIEMONTE;203;TO3;S01                    ;;12;169;181
2022;010;PIEMONTE;203;TO3;S02                    ;;14;151;165
2022;010;PIEMONTE;203;TO3;S03                    ;;40;84;124
2022;010;PIEMONTE;203;TO3;S11                    ;;10;122;132
2022;010;PIEMONTE;203;TO3;S13                    ;;7;66;73
2022;010;PIEMONTE;203;TO3;S16                    ;;1;21;22
2022;010;PIEMONTE;203;TO3;S17                    ;;1;29;30
2022;010;PIEMONTE;203;TO3;S18                    ;;14;143;157
2022;010;PIEMONTE;203;TO3;S19                    ;;21;225;246
2022;010;PIEMONTE;204;TO4;S01                    ;;26;211;237
2022;010;PIEMONTE;204;TO4;S02                    ;;2;17;19
2022;010;PIEMONTE;204;TO4;S03                    ;;29;220;249
2022;010;PIEMONTE;204;TO4;S05                    ;;12;239;251
2022;010;PIEMONTE;204;TO4;S07                    ;;;33;33
2022;010;PIEMONTE;204;TO4;S18                    ;;34;252;286
2022;010;PIEMONTE;204;TO4;S19                    ;;9;265;274
2022;010;PIEMONTE;204;TO4;S20                    ;;5;52;57
2022;010;PIEMONTE;204;TO4;S22                    ;;20;71;91
2022;010;PIEMONTE;205;TO5;S01                    ;;15;168;183
2022;010;PIEMONTE;205;TO5;S02                    ;;21;193;214
2022;010;PIEMONTE;205;TO5;S03                    ;;14;69;83
2022;010;PIEMONTE;205;TO5;S04                    ;;31;196;227
2022;010;PIEMONTE;206;VC;S01                    ;;22;198;220
2022;010;PIEMONTE;206;VC;S03                    ;;24;107;131
2022;010;PIEMONTE;206;VC;S05                    ;;10;58;68
2022;010;PIEMONTE;207;BI;S01                    ;;22;312;334
2022;010;PIEMONTE;207;BI;S02                    ;;19;191;210
2022;010;PIEMONTE;207;BI;S03                    ;;13;79;92
